,ShearCoefficientU,ShearCoefficientV
ZS08, 2.36455E-001, 2.54656E-001
ZS07, 2.27718E-001, 2.46601E-001
ZS06, 2.20794E-001, 2.37072E-001
ZS05, 2.15195E-001, 2.26109E-001
ZS04, 2.10060E-001, 2.14676E-001
ZS03, 2.05668E-001, 2.04523E-001
ZS02, 1.95700E-001, 1.93481E-001
ZS01, 1.84180E-001, 1.86452E-001
ZS08_SumW, 0.00000E+000, 0.00000E+000
ZS07_SumW, 0.00000E+000, 0.00000E+000
ZS06_SumW, 0.00000E+000, 0.00000E+000
ZS05_SumW, 0.00000E+000, 0.00000E+000
ZS04_SumW, 0.00000E+000, 0.00000E+000
ZS08_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS07_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS06_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS05_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS04_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS03_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS02_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS01_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS07_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS06_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS05_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS04_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS03_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS02_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS01_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS07_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS06_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS05_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS04_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS08_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS07_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS06_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS05_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS04_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS03_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS02_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS01_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS08_StiffCenter, 0.00000E+000, 0.00000E+000
ZS07_StiffCenter, 0.00000E+000, 0.00000E+000
ZS06_StiffCenter, 0.00000E+000, 0.00000E+000
ZS05_StiffCenter, 0.00000E+000, 0.00000E+000
ZS04_StiffCenter, 0.00000E+000, 0.00000E+000
ZS03_StiffCenter, 0.00000E+000, 0.00000E+000
ZS02_StiffCenter, 0.00000E+000, 0.00000E+000
ZS01_StiffCenter, 0.00000E+000, 0.00000E+000
